Date;Norm;Value;Type
01.01.01;H1.0;10;min
01.01.01;H1.1;5;min
01.01.01;H1.2;5,5;min
01.01.01;H2;15;min
01.01.01;H3;50;min
01.01.01;H4;120;max
01.01.01;H6;25;max
01.01.01;H7;800;max
01.01.01;H9.1;50;max
01.01.01;H10.1;3;max
01.01.01;H12;25;max
01.01.01;H15;100;min
01.01.01;H16;100;max
01.01.01;H16.1;0;max
01.01.01;H18;100;min
01.01.15;H1.2;6;min
01.01.16;H1.0;8;min
01.01.16;H1.1;4.5;min
