REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,PRIZ_P,C2_5
2659,01,32237844,1022200531484,2659,040173771,1/1/2016,"??? ?? ""????????????????""","656043, ????????? ????, ?.???????, ??.?.????????, 38?",1,23
2664,45,29289903,1027739228758,2664,044525318,1/1/2016,"??? ""??????"" (??)","117292, ?. ??????, ??. ???????, ?. 5?",1,23
2670,45,29288039,1027700474944,2670,044525191,1/1/2016,"??? ?? ""??????????-??????????? ????""","105066,  ?. ??????, ??. ??????????, ??? 16, ???.5-5?",1,23
2672,78,25136083,1020500000168,2672,047888750,1/1/2016,"??? ?? ""???????????-??????""","152020, ??????????? ???????, ?. ??????????-?????????, ??. ?????????????, 1-?",1,23
2673,45,29290881,1027739642281,2673,044583974,1/1/2016,"?? ""???????? ????""","123060, ?. ??????, 1-? ????????????? ??????, ??? 10, ???.1",1,23
2677,45,29288571,1027739542709,2677,044525190,1/1/2016,???? ???? (???),"119017, ?. ??????, ??. ?????????, ?. 42",1,31
2682,46,29289286,1027739621810,2682,044525881,1/1/2016,"?? ""??????-????"" (???)","143402, ?????????? ???????, ????????????? ?????, ?. ???????????, ??. ?????????????, ?. 18",1,31
2684,45,29289642,1027739542050,2684,044525215,1/1/2016,"??? ""???? ???""","119180,  ?. ??????, ??. ??????? ???????, ?. 2/10, ???. 1",1,27
2688,82,25140558,1020500000531,2688-?,048209860,1/1/2016,"??? ""???????"" ???","367008, ?????????? ????????, ?.?????????, ??.????????, 65.",1,23
2696,45,29402558,1027700050510,2696,044525124,1/1/2016,"??? ""??????????"" (???)","123001,  ?. ??????, ???????????? ???., ?.5, ???.2",1,23
2697,45,29412781,1027739481362,2697,044525262,1/1/2016,"??? ""?????????? ?????????? ????"" (??)","127238, ?. ??????, ?????????? ??????, ?. 10",1,31
2704,45,29290740,1027739378600,2704,044525541,1/1/2016,"?? ""????????????? ???? ????????"" (??)","123022, ?. ??????, ????? ???????????, ??? 14, ???????? 1",1,23
2705,92,33863696,1081600001097,2705,049205804,1/1/2016,"??? ""?????????""","420021, ?.??????, ??.??????????? ????????, ?.24",1,31
2707,45,29393440,1057711014195,2707,044525161,1/1/2016,"?? ""????-????"" (??)","111250, ?. ??????, ??. ????????????, ?. 14",1,31
2721,87,12893032,1021100000074,2721,048702781,1/1/2016,"""???????? ???????? ????"" (???)","167000, ?????????? ????, ?.?????????, ??.????????????, 68",1,27
2722,47,22619935,1025100003917,2722,044705768,1/1/2016,"???? ""????"" (???)","183032, ?. ????????, ??. ??????, ?. 12",1,23
2726,45,11538464,1037739616122,2726-?,044525299,1/1/2016,"??? ""??? ""??????? ????? ?? ??????""","125171,  ?. ??????, ????????????? ?????, ?. 16?, ???????? 1",1,23
2728,19,22779691,1023500000028,2728,041909772,1/1/2016,"?? ""??????????????""","160009 ?. ???????, ??. ??????, ?. 30",1,27
2729,91,33480073,1020900001946,2729,049133812,1/1/2016,"??? ?? ""????????""","369000,  ?????????-?????????? ??????????, ?.????????, ??. ???????????????, 64",1,31
2731,25,33275404,1023800000047,2731,042520849,1/1/2016,"??? ""???????????????????""","664025, ????????? ???????, ?. ???????, ??. ???????, 2",1,31
2733,05,33618850,1022500001061,2733,040507803,1/1/2016,"??? ??? ???????? ""???????????""","690106 ?????????? ???? ?.??????????? ???????????? ????????, 44",1,27
2738,45,29292006,1027739120199,2738,044583675,1/1/2016,"??? ""???????"" ???","119435,  ?. ??????, ??????? ?????????? ????????, ?. 2, ???. 9",1,23
2748,45,29292940,1027700159497,2748,044525219,1/1/2016,"??? ""???? ??????""","107996, ?. ??????, ??. ????????????, 8/15, ???. 3",1,31
2749,45,29293224,1027739588205,2749-?,044583793,1/1/2016,"??? ???? ""???""","119146,  ?. ??????, ??????????? ???.,  ?. 24/1",1,23
2755,45,29465091,1027739028536,2755,044525278,1/1/2016,"?? ""?? ????""","125047,  ?. ??????, ???????? ???????, ?. 2",1,23
