"ОАО КБ ""Максимум""";466
"ОАО ""ЕВРОСИБ БАНК""";594
"ОАО ""СЭБ Банк""";3235
"ОАО ""УРАЛЬСКИЙ ТРАСТОВЫЙ БАНК""";2523
"ОАО АКБ ""АКТИВ БАНК""";2529
"ЗАО ИКБ ""ЕВРОПЕЙСКИЙ""";1616
"ЗАО ""МБ Банк""";3396
"ЗАО ""Холмсккомбанк""";503
"АКБ ""Кранбанк"" (ЗАО)";2271
"ОАО ""НАШ БАНК""";1340
"АО ""РФК-банк""";3099
"ООО КБ ""ДАГДОРБАНК""";2922
"МКИБ ""РОССИТА-БАНК"" ООО";3257
"АКБ ""РОСЕВРОБАНК"" (ОАО)";3137
"ООО ""М плюс""";3282
"КБ ""ЛОКО-Банк"" (ЗАО)";2707
"КБ ""МГБ"" ООО";2866
"""БУМ-БАНК"";1137
"АО ""НК Банк""";2755
"ООО ""ПотенциалБанк""";1019
"ПАО ""НВКбанк""";931
"ОАО КБ ""ЕвроситиБанк""";1869
"РНКО ""ФРЦ"" АО";3319
"ЗАО ""БВА Банк""";1684
"ООО ""Дагэнергобанк""";3286
"""Братский АНКБ"" ПАО";1144
"КБ ""АКРОПОЛЬ"" ЗАО";3027
"ООО КБ ""Европейский Экспресс""";3449
"Банк ""Первомайский"" (ПАО)";518
"КБ ""Экономикс-Банк"" (ООО)";2136
"""ЗЕРБАНК (МОСКВА)"" (АО)";2559
"АКБ ""Легион"" (ОАО)";3117
"ООО ""ЕВРАЗБАНК""";1676
"ООО ""Атлас Банк""";3477
"АО ""Кемсоцинбанк""";96
"НКБ ""Нерюнгрибанк"" (ООО)";825
"ООО ""ТРАНСЭНЕРГОБАНК""";3106
"ЗАО ""Банк ""Вологжанин""";1896
"Банк ""Северный Кредит"" (ОАО)";2398
"ООО КБ ""ИНВЕСТСОЦБАНК""";3010
"АО ""ГОРБАНК""";2982
"ОАО ""ДнБ НОР Мончебанк""";1276
"АО ""РОСТ БАНК""";2888
"ПАО ""Курскпромбанк""";735
"МКБ ""Дон-Тексбанк"" ООО";1818
"РНКО ""Базис-Центр"" ЗАО";3319
"ОАО ""ЧЕЛЯБИНВЕСТБАНК""";493
"АО Банк ""Советский""";558
"""Банк Ренессанс Финанс"" ООО";3471
"АКБ ""Русский Трастовый Банк"" (АО)";1139
"ООО КБ ""АСБ""";622
"ООО ""Эйч-эс-би-си Банк (РР)""";3290
"АКБ ""Традо-Банк"" (ЗАО)";1065
Дрезднер Банк ЗАО;2455
"ООО ""КБИТ ""Паритет""";1860
"ООО ""Фольксваген Банк РУС""";3500
"ОАО АКБ ""ИРОНБАНК""";1724
"АКБ ""ВЕК"" (АО)";2299
"АО ""Углеметбанк""";2997
"ОАО ""Курскпромбанк""";735
Таурус Банк (ЗАО);655
К2 Банк (ЗАО);2851
ИНГ БАНК (ЕВРАЗИЯ) АО;2495
"ОАО КБ ""ЕВРОКОММЕРЦ""";1777
"ООО КБ ""РБС""";3367
"АО ""Гранд Инвест Банк""";3053
"КБ ""ВЕТБ"" АО";2253
"КБ ""БФГ-Кредит"" (ООО)";3068
"ОАО ""Лето Банк""";650
"ОАО ""Далькомбанк""";84
"ОАО ""Флексинвест Банк""";3089
"ОАО ""ТГБ""";3180
"ЗАО ""Республиканский банк""";3277
"ЗАО ""Сантандер Консьюмер Банк""";3052
"ЗАО ""Банк Сибирь""";170
"""Натиксис Банк (ЗАО)""";3390
"ПАО ""САРОВБИЗНЕСБАНК""";2048
"""РЕГНУМ БАНК"" (ООО)";3373
"ОАО АКБ ""Донактивбанк""";3120
"АКБ ""БАСМАННЫЙ"" (ЗАО)";2158
"АО ""НДБанк""";2374
"ОАО ""Газнефтьбанк""";3223
"ОАО ""НОМОС-РЕГИОБАНК""";539
"ОАО ""БайкалИнвестБанк""";1067
"ООО НКО ""Тор Кредит""";3497
"""Фреско банк"" (ЗАО)";1415
"ЗАО АКБ ""Сибирьгазбанк""";3042
"ОАО ""ЮГ-Инвестбанк""";2772
"ОАО ""МОСКОМБАНК""";3172
"""Мой Банк"" (ООО)";2939
"ЗАО ""Уралприватбанк""";153
"ООО ""Промрегионбанк""";2123
"ООО ""Земский банк""";2900
"ОАО ""МКБ ""СИБЭС""";208
"ООО КБ ""Профит Банк""";3234
"Банк ""Кузнецкий мост"" ОАО";2254
"ООО ""КБ ""Тальменка-банк""";826
СБ Банк (ООО);2999
"АО Банк ""Объединенный капитал""";2611
ООО ПИР Банк;2655
"ОАО КБ ""МВКБ""";2863
ЗАО Сберкред Банк;2581
"АО ""ТРОЙКА-Д БАНК""";3431
"""ИНГ БАНК (ЕВРАЗИЯ) ЗАО""";2495
"ООО КБ ""ТрастКомБанк""";2499
"НКО ""КредитАльянс"" (ООО)";3472
"ЗАО ""ГЛОБЭКСБАНК""";1942
"АО АКБ ""ГАЗСТРОЙБАНК""";2919
"ОАО НДКО ""МЦМ""";3489
"ЗАО ""ПроБанк""";2471
"ОАО АКЗБ ""ДЕРБЕНТ-КРЕДИТ""";2090
"ОАО ""Кемсоцинбанк""";96
"ОАО ""Сведбанк""";3064
"КБ ""Информпрогресс"" (ООО)";2166
"ООО РНКО ""УМУТ""";2435
"ОАО ""Уралфинпромбанк""";3119
"АКБ ""ТЕНДЕР-БАНК"" (ЗАО)";2252
"ПАО ""СЭБ Банк""";3235
"ПАО АКБ ""РФА""";2035
"КБ ""Транснациональный банк"" (ООО)";2108
"ООО КБ ""Альба Альянс""";2593
ОАО НОКССБАНК;3202
"АКБ ""Ноосфера"" (ЗАО)";2650
НКО РП СВМБ АО;3324
"ПАО ""БыстроБанк""";1745
"ОАО ""МАКСВЕЛЛ БАНК""";625
"КБ ""МКБ"" (ПАО)";2524
"ООО РНКО ""РИБ""";2749
"АКБ ""Новый Кредитный Союз"" (АО)";3139
"""РГТ-Банк"" (ЗАО)";2747
"АБ ""АСПЕКТ"" (ЗАО)";608
"ОАО ""НК Банк""";2755
"АКБ ""Ижкомбанк"" (ПАО)";646
"ООО ""Экспобанк""";2998
"ОАО РАКБ ""Донхлеббанк""";2285
"АО АКБ ""РУССОБАНК""";2313
"АО ""ЮМК банк""";3495
"""АЛОР БАНК"" (ОАО)";435
"ОАО ""Принтбанк""";546
"ООО ""Владпромбанк""";870
"ООО ""ПК-Банк""";2652
"Банк ""Богородский"" (ООО)";1277
"ЗАО НКО ""ДКД""";3474
"""АНКОР БАНК"" (ОАО)";889
"АКБ ""Ресурс-траст"" (АО)";3122
"ПАО КБ ""Сельмашбанк""";106
"АКБ ""ЯПЫ КРЕДИ БАНК МОСКВА"" (ЗАО)";2555
"ПАО ""Банк Екатерининский""";2167
"ЗАО ""Нефтепромбанк""";2156
"ПАО ""Невский банк""";1068
"КБ ""ГЕНБАНК"" (ООО)";2490
"ООО КБ ""Западный""";2598
Банк НФК (ЗАО);3437
"ООО ""Банк РБ""";1910
ПАО Банк ЗЕНИТ;3255
"ООО ""Костромаселькомбанк""";1115
"""АНКОР БАНК"" (АО)";889
"ОАО КБ ""МПСБ""";752
КБ МКБ (ООО);2543
"ПАО АРКБ ""Росбизнесбанк""";1405
"БАНК ""РЕЗЕРВ"" (АО)";2364
"ЗАО ""КБ ДельтаКредит""";3338
"ОАО ""ВБРР""";3287
"ОАО ""Промсвязьбанк""";3251
"ОАО Банк ""Аскольд""";2480
"КБ ""Долинск"" (ЗАО)";857
"ООО КБ ""Инстройбанк""";2743
"АКБ ""Ярзембанк"" (ЗАО)";1415
"ПАО ""АК Банк""";3006
"ООО КБ ""Кредэкс""";3186
"ОАО ""Банк ""Казанский""";2888
ВТБ 24 (ЗАО);1623
"ЗАО ""Восточный ипотечный банк""";3052
"АО АКБ ""ГАЗБАНК""";2316
"АО АКБ ""Стелла-Банк""";2948
"ЗАО ""СтарБанк""";548
"ЗАО ""МАБ""";1987
"ПАО ""Башпромбанк""";1006
"ЗАО КБ ""Ростовский Универсальный""";2813
"КБ ""МРБ"" (ООО)""";1059
"НКО ""ИНКАХРАН"" (АО)";3454
"ОАО МАБ ""Темпбанк""";55
"ЗАО ""РСКБ""";2050
"АКБ ""ЯПЫ КРЕДИ БАНК МОСКВА"" (АО)";2555
"ОАО ""НСТ-БАНК""";1738
"""АМБ Банк"" (ПАО)";3036
"ООО ""РНКО ""ВЕСТ""";2605
"КБ ""Унифин"" АО";2654
"ОАО АКБ ""АДАМОН БАНК""";2896
"ОАО ""БИНБАНК""";2562
"АО НКО ""МОСКЛИРИНГЦЕНТР""";3314
"АКБ ""Спурт"" (ОАО)";2207
"АО АКБ ""НОВИКОМБАНК""";2546
"ОАО КБ ""ЮНИСТРИМ""";3467
"АО ""БИНБАНК Мурманск""";1276
"КБ ""Рента-Банк"" ОАО";3095
Прио-Внешторгбанк (ОАО);212
Банк СОЮЗ (АО);2307
"ООО КБ ""Финансовый капитал""";3288
"ОАО ""Россельхозбанк""";3349
"""НОТА-Банк"" (ОАО)";2913
"Банк ""ВБРР"" (АО)";3287
"ОАО ""Меткомбанк""";901
"""Соверен Банк"" (АО)";3206
"Банк ""Возрождение"" (ПАО)";1439
"КБ ""ЭНЕРГОТРАНСБАНК"" (ОАО)";1307
"КБ ""МФБанк"" ООО";3163
"ПАО ""Запсибкомбанк""";918
"Банк ""Смолевич"" (ПАО)";1121
